SR.No,City,State,2012 estimate,2010 Census,2010 land area,2010 population density,Location
144,Tempe,Arizona,"1,66,842","1,61,719",39.929 sq mi,"4,050 per sq mi",33.3884N 111.9318W
,,,,,103.416 km2,"1,564 km-2",
145,Vancouver,Washington,"1,65,489","1,61,791",46.456 sq mi,"3,483 per sq mi",45.6372N 122.5965W
,,,,,120.322 km2,"1,345 km-2",
146,Springfield,Missouri,"1,62,191","1,59,498",81.720 sq mi,"1,952 per sq mi",37.1942N 93.2913W
,,,,,211.654 km2,754 km-2,
147,Cape Coral,Florida,"1,61,248","1,54,305",105.673 sq mi,"1,460 per sq mi",26.6431N 81.9973W
,,,,,273.691 km2,564 km-2,
148,Pembroke Pines,Florida,"1,60,306","1,54,019",33.124 sq mi,"4,672 per sq mi",26.0212N 80.3404W
,,,,,85.790 km2,"1,804 km-2",
149,Sioux Falls,South Dakota,"1,59,908","1,53,888",72.964 sq mi,"2,109 per sq mi",43.5383N 96.7320W
,,,,,188.977 km2,814 km-2,
150,Peoria,Arizona,"1,59,789","1,54,065",174.404 sq mi,883 per sq mi,33.7877N 112.3111W
,,,,,451.704 km2,341 km-2,
151,Lancaster,California,"1,59,055","1,56,633",94.276 sq mi,"1,661 per sq mi",34.6936N 118.1753W
,,,,,244.175 km2,641 km-2,
152,Elk Grove,California,"1,59,038","1,53,015",42.190 sq mi,"3,627 per sq mi",38.4144N 121.3849W
,,,,,109.271 km2,"1,400 km-2",
153,Corona,California,"1,58,391","1,52,374",38.825 sq mi,"3,925 per sq mi",33.8624N 117.5639W
,,,,,100.558 km2,"1,515 km-2",
154,Eugene,Oregon,"1,57,986","1,56,185",43.723 sq mi,"3,572 per sq mi",44.0567N 123.1162W
,,,,,113.241 km2,"1,379 km-2",
155,Salem,Oregon,"1,57,429","1,54,637",47.896 sq mi,"3,229 per sq mi",44.9237N 123.0231W
,,,,,124.049 km2,"1,247 km-2",
156,Palmdale,California,"1,55,650","1,52,750",105.961 sq mi,"1,442 per sq mi",34.5913N 118.1090W
,,,,,274.439 km2,557 km-2,
157,Salinas,California,"1,54,484","1,50,441",23.179 sq mi,"6,490 per sq mi",36.6902N 121.6337W
,,,,,60.033 km2,"2,506 km-2",
158,Springfield,Massachusetts,"1,53,552","1,53,060",31.865 sq mi,"4,803 per sq mi",42.1155N 72.5400W
,,,,,82.530 km2,"1,855 km-2",
159,Pasadena,Texas,"1,52,272","1,49,043",42.762 sq mi,"3,485 per sq mi",29.6583N 95.1505W
,,,,,110.754 km2,"1,346 km-2",
160,Rockford,Illinois,"1,50,843","1,52,871",61.081 sq mi,"2,503 per sq mi",42.2634N 89.0628W
,,,,,158.200 km2,966 km-2,
161,Pomona,California,"1,50,812","1,49,058",22.952 sq mi,"6,494 per sq mi",34.0586N 117.7613W
,,,,,59.444 km2,"2,508 km-2",
162,Hayward,California,"1,49,392","1,44,186",45.323 sq mi,"3,181 per sq mi",37.6281N 122.1063W
,,,,,117.386 km2,"1,228 km-2",
163,Fort Collins,Colorado,"1,48,612","1,43,986",54.277 sq mi,"2,653 per sq mi",40.5482N 105.0648W
,,,,,140.578 km2,"1,024 km-2",
164,Joliet,Illinois,"1,48,268","1,47,433",62.114 sq mi,"2,374 per sq mi",41.5181N 88.1584W
,,,,,160.874 km2,916 km-2,
165,Escondido,California,"1,47,575","1,43,911",36.813 sq mi,"3,909 per sq mi",33.1336N 117.0732W
,,,,,95.345 km2,"1,509 km-2",
166,Kansas City,Kansas,"1,47,268","1,45,786",124.810 sq mi,"1,168 per sq mi",39.1225N 94.7418W
,,,,,323.256 km2,451 km-2,
167,Torrance,California,"1,47,027","1,45,438",20.478 sq mi,"7,102 per sq mi",33.8350N 118.3414W
,,,,,53.038 km2,"2,742 km-2",
168,Bridgeport,Connecticut,"1,46,425","1,44,229",15.974 sq mi,"9,029 per sq mi",41.1874N 73.1957W
,,,,,41.372 km2,"3,486 km-2",
169,Alexandria,Virginia,"1,46,294","1,39,966",15.027 sq mi,"9,314 per sq mi",38.8183N 77.0820W
,,,,,38.920 km2,"3,596 km-2",
170,Sunnyvale,California,"1,46,197","1,40,081",21.987 sq mi,"6,371 per sq mi",37.3858N 122.0263W
,,,,,56.947 km2,"2,460 km-2",
171,Cary,North Carolina,"1,45,693","1,35,234",54.345 sq mi,"2,488 per sq mi",35.7821N 78.8141W
,,,,,140.754 km2,961 km-2,
172,Lakewood,Colorado,"1,45,516","1,42,980",42.880 sq mi,"3,334 per sq mi",39.6989N 105.1176W
,,,,,111.060 km2,"1,287 km-2",
173,Hollywood,Florida,"1,45,236","1,40,768",27.366 sq mi,"5,144 per sq mi",26.0311N 80.1646W
,,,,,70.879 km2,"1,986 km-2",
174,Paterson,New Jersey,"1,45,219","1,46,199",8.428 sq mi,"17,346 per sq mi",40.9147N 74.1628W
,,,,,21.829 km2,"6,697 km-2",
175,Syracuse,New York,"1,44,170","1,45,170",25.043 sq mi,"5,797 per sq mi",43.0410N 76.1436W
,,,,,64.862 km2,"2,238 km-2",
176,Naperville,Illinois,"1,43,684","1,41,853",38.769 sq mi,"3,659 per sq mi",41.7492N 88.1620W
,,,,,100.412 km2,"1,413 km-2",
